Name,Works,Words
Pavel Coruț,24,1069
Petre Ghelmez,14,1475
Petre Stoica,111,4012
Petru Creţia,13,688
Radu Cârneci,27,1105
Radu D. Rosetti,17,426
Radu Gyr,463,11570
Radu Stanca,60,2700
Radu Tudoran,0,0
Rodica Elena Lupu,133,3989
Romulus Guga,6,299
Romulus Vulpescu,32,2203
Sașa Pană,10,624
Sesto Pals,10,522
Sorin Cerin,568,6088
Spiridon Popescu,33,766
Stefan Tanase,7,427
Stephan Roll,19,1222
Theodor Damian,0,0
Traian Calancia,1,96
Traian Chelariu,9,499
Traian Demetrescu,39,1315
Traian Dorz,59,2153
Traian Furnea,9,455
Tristan Tzara,57,3514
Tudor Arghezi,203,5995
Tudor George,19,2105
Valeria Boiculesi,15,473
Valeriu Gafencu,13,712
Vasile Alecsandri,84,5647
Vasile Conta,13,800
Vasile Copilu-Cheatră,176,5981
Vasile Cârlova,5,945
Vasile Militaru,62,4721
Vasile Posteucă,6,342
Veronica Micle,74,1396
Veronica Porumbacu,12,488
Victor Eftimiu,49,2263
Victor Sivetidis,0,0
Victor Tulbure,26,1014
Virgil Carianopol,56,2159
Virgil Diaconu,13,1163
Virgil Gheorghiu,10,553
Virgil Teodorescu,18,1503
Vladimir Streinu,10,660
Zaharia Bârsan,4,236
Zaharia Stancu,124,2290
Zorica Laţcu,44,2266
Ştefan Augustin Doinaş,165,7392
Ştefan Baciu,22,1387
Ştefan Octavian Iosif,90,3631
Ștefan Petică,18,914
Ștefan Radof,4,129
Ștefania Stâncă,1,67
